-6611087,-6515722,-6522462,-6608681,-6583464,-6668394,-6609751,3694968,Happy
-6814932,-6711569,-6720912,-6693159,-6541866,-6687870,-6721439,3799912,Happy
-6829627,-6729787,-6738584,-6744917,-6513404,-6723339,-6751986,3804096,Happy
-6631477,-6540001,-6546133,-6669901,-6553397,-6710686,-6647282,3701536,Happy
-6582977,-6489344,-6495579,-6604055,-6586861,-6671059,-6597829,3675128,Happy
-6777610,-6675122,-6684078,-6670422,-6551282,-6678062,-6696947,3775936,Happy
-6846829,-6745542,-6754703,-6742977,-6513522,-6717719,-6756614,3811638,Happy
-6666160,-6573652,-6580190,-6687776,-6545309,-6716912,-6668010,3720993,Happy
-6571265,-6478864,-6484805,-6608463,-6588082,-6677867,-6596376,3670834,Happy
-6722562,-6621657,-6630008,-6640036,-6555470,-6662517,-6661367,3729863,Happy
-6824119,-6721980,-6731254,-6710724,-6501249,-6688714,-6728999,3773567,Happy
-6670048,-6576414,-6583314,-6674511,-6518523,-6694796,-6658471,3696983,Happy
-6538630,-6447079,-6452829,-6585840,-6565371,-6656987,-6569789,3634658,Happy
-6699870,-6599555,-6607773,-6626870,-6560143,-6657622,-6647262,3735738,Happy
-6851622,-6748367,-6757979,-6723517,-6512091,-6697227,-6747177,3809164,Happy
-6725459,-6630257,-6637682,-6705949,-6516847,-6710914,-6694841,3739593,Happy
-6564208,-6473238,-6478937,-6617008,-6570138,-6681564,-6596692,3663076,Happy
-6643827,-6545873,-6553292,-6605266,-6565467,-6650869,-6616429,3688741,Happy
-6827731,-6724028,-6733595,-6696739,-6511939,-6678799,-6723937,3787266,Happy
-6785842,-6688389,-6696572,-6733709,-6517964,-6724645,-6731499,3793828,Happy
-6609722,-6518646,-6524577,-6657489,-6577385,-6711336,-6635986,3711795,Happy
-6645837,-6549352,-6556415,-6627584,-6590216,-6679190,-6632794,3717740,Happy
-6843544,-6739850,-6749366,-6715030,-6541277,-6701646,-6743192,3819770,Happy
-6831146,-6732382,-6740941,-6760750,-6528929,-6743031,-6763227,3824525,Happy
-6640217,-6549006,-6555054,-6684271,-6580423,-6730903,-6661584,3732398,Happy
-6643906,-6548716,-6555436,-6643854,-6610925,-6702375,-6643841,3739244,Happy
-6845924,-6742665,-6752019,-6725712,-6571151,-6720524,-6753560,3841503,Happy
-6865246,-6765261,-6774149,-6778205,-6540914,-6755109,-6785770,3845526,Happy
-6670156,-6578544,-6584777,-6705812,-6580200,-6744196,-6683519,3746327,Happy
-6619899,-6526377,-6532637,-6642237,-6618254,-6708501,-6635387,3723853,Happy
-6806779,-6704507,-6713430,-6703240,-6583656,-6712147,-6728825,3815107,Happy
-6874403,-6773081,-6782278,-6770487,-6541222,-6745771,-6784277,3843334,Happy
-6698924,-6606227,-6612866,-6717982,-6570946,-6745808,-6698762,3757406,Happy
-6606887,-6514480,-6520472,-6643375,-6618024,-6712090,-6631392,3717780,Happy
-6783367,-6682031,-6690627,-6694635,-6599363,-6714208,-6717877,3814516,Happy
-6897059,-6794577,-6804055,-6778395,-6552441,-6750960,-6797637,3865280,Happy
-6740948,-6647070,-6654096,-6741306,-6568355,-6756636,-6725584,3782153,Happy
-6607230,-6515756,-6521552,-6655087,-6619302,-6722981,-6638076,3720358,Happy
-6742252,-6642516,-6650578,-6677746,-6610234,-6710812,-6695544,3790259,Happy
-6895509,-6792242,-6801872,-6768427,-6558968,-6744166,-6792169,3864171,Happy
-6777564,-6682183,-6689712,-6755853,-6562529,-6759823,-6745346,3800210,Happy
-6601916,-6511167,-6516789,-6657707,-6610842,-6723359,-6636449,3707439,Happy
-6693119,-6595112,-6602577,-6653719,-6613126,-6700152,-6665546,3756450,Happy
-6863009,-6759704,-6769198,-6738101,-6557190,-6721809,-6763664,3828882,Happy
-6769482,-6672892,-6680699,-6730599,-6536594,-6729151,-6724903,3761239,Happy
-6583549,-6492893,-6498574,-6638251,-6582637,-6700189,-6615787,3673319,Happy
-6623509,-6527238,-6534164,-6608768,-6594697,-6667379,-6614364,3693186,Happy
-6837231,-6733377,-6742923,-6706806,-6549337,-6696646,-6736677,3815353,Happy
-6825167,-6726324,-6734903,-6753663,-6532827,-6736754,-6756846,3812633,Happy
-6608334,-6517614,-6523453,-6658777,-6571522,-6708979,-6634410,3685449,Happy
-6587951,-6493487,-6499884,-6598340,-6592252,-6664607,-6596193,3668638,Happy
-6787852,-6684856,-6693987,-6672333,-6546981,-6674624,-6700252,3770876,Happy
-6834747,-6734186,-6743209,-6740492,-6518327,-6718597,-6751114,3807773,Happy
-6664767,-6572563,-6579011,-6691202,-6565006,-6725667,-6671576,3739729,Happy
-6616367,-6522796,-6529102,-6636561,-6610081,-6699852,-6630007,3723382,Happy
-6786989,-6685101,-6693881,-6688410,-6574520,-6697897,-6712441,3792180,Happy
-6837903,-6736854,-6745865,-6738469,-6521327,-6716251,-6751053,3793154,Happy
-6667444,-6574621,-6581189,-6684793,-6545924,-6713626,-6666232,3714553,Happy
-6587025,-6494516,-6500549,-6621700,-6599107,-6690067,-6610383,3696283,Happy
-6764004,-6662736,-6671322,-6675857,-6585219,-6696021,-6699209,3796523,Happy
-6895822,-6792956,-6802578,-6771242,-6543150,-6741441,-6792286,3866268,Happy
-6750196,-6655967,-6663162,-6744788,-6562124,-6755472,-6730138,3791756,Happy
-6605931,-6514633,-6520402,-6655095,-6613600,-6721082,-6637076,3718704,Happy
-6731936,-6632526,-6640467,-6671560,-6605457,-6705741,-6688109,3780973,Happy
-6885119,-6781912,-6791474,-6758727,-6552262,-6735397,-6782463,3851295,Happy
-6773329,-6677759,-6685326,-6748581,-6553538,-6751438,-6738820,3791455,Happy
-6592756,-6502148,-6507767,-6649939,-6601855,-6715311,-6627953,3694355,Happy
-6668136,-6570499,-6577838,-6634144,-6601023,-6683766,-6644586,3727413,Happy
-6868630,-6764791,-6774440,-6736187,-6553406,-6718761,-6764364,3841378,Happy
-6791817,-6694779,-6702794,-6746280,-6539316,-6739460,-6741902,3786776,Happy
-6580032,-6489651,-6495253,-6638586,-6578839,-6699654,-6614186,3664781,Happy
